x,y,type,size
204.19,257.22,rocks,4
330.18,237.82,strong_current,17
139.74,259.37,strong_current,17
328.98,233.14,fishing_ground,18
179.14,270.31,strong_current,16
333.89,234.89,danger,8
186.36,266.14,island,11
317.78,270.24,strong_current,18
192.11,248.26,fishing_ground,10
315.81,259.53,ice_hole,13
180.74,261.88,ice_hole,17
310.07,284.57,ice_hole,18
154.56,243.22,ice_hole,10
328.79,262.16,ice_hole,16
167.13,223.69,kelp_forest,5
316.76,242.59,fishing_ground,13
184.43,254.4,danger,18
286.72,274.52,abyss,17
149.34,227.5,danger,9
315.97,266.08,corals,14
186.34,244.86,rocks,17
333.12,230.36,ice_hole,4
153.12,247.37,island,18
331.69,283.68,rocks,15
174.44,225.06,island,11
307.65,255.95,fishing_ground,12
167.72,225.79,fishing_ground,9
334.85,251.7,island,13
182.2,262.92,ice_hole,15
323.08,256.33,fishing_ground,15
181.48,260.9,rocks,5
337.23,279.76,island,19
175.88,231.36,kelp_forest,14
323.53,255.68,rocks,17
195.27,221.42,kelp_forest,18
317.57,250.44,abyss,3
186.88,239.66,rocks,2
314.98,266.37,danger,1
170.48,222.74,strong_current,10
321.37,243.85,abyss,19
185.06,232.69,danger,17
341.79,262.39,fishing_ground,12
178.44,226.41,strong_current,1
299.6,276.07,corals,12
186.8,188.81,danger,17
361.36,248.93,kelp_forest,3
178.66,262.15,fishing_ground,11
296.4,266.55,danger,17
179.67,185.63,fishing_ground,3
322.88,253.49,danger,8
175.78,261.74,strong_current,4
337.46,266.7,corals,7
198.59,239.55,kelp_forest,14
333.22,281.05,danger,14
175.38,212.54,strong_current,4
339.83,292.72,island,16
154.64,181.73,island,1
311.25,260.21,abyss,17
168.58,209.28,rocks,10
321.53,263.37,abyss,16
185.9,206.34,abyss,16
318.64,298.62,danger,8
164.61,215.66,fishing_ground,7
336.26,307.46,danger,6
175.2,215.01,ice_hole,16
322.58,303.87,rocks,16
187.54,209.46,corals,7
321.22,281.41,ice_hole,9
180.24,231.27,corals,14
335.8,281.23,strong_current,11
182.32,212.43,corals,14
332.76,305.18,kelp_forest,7
188.73,218.32,kelp_forest,1
349.6,277.62,corals,13
187.2,219.85,ice_hole,3
328.27,282.06,kelp_forest,4
198.12,214.6,danger,11
319.06,306.38,danger,2
172.65,213.1,rocks,14
310.41,281.94,strong_current,12
175.89,208.04,strong_current,17
302.69,317.71,strong_current,12
188.22,200.56,abyss,12
306.81,290.93,rocks,1
187.08,209.77,corals,13
313.1,306.36,kelp_forest,14
184.31,169.76,corals,2
322.91,292.98,kelp_forest,12
177.7,185.22,strong_current,16
323.32,329.99,danger,4
209.59,211.03,strong_current,8
318.12,328.84,abyss,2
175.87,193.32,danger,10
303.18,324.26,rocks,9
184.6,171.67,ice_hole,15
302.6,312.48,strong_current,13
174.68,193.47,island,17
312.62,298.2,island,16
186.89,188.42,fishing_ground,2
312.16,339.92,abyss,14
208.34,192.0,fishing_ground,3
304.96,330.18,strong_current,12
174.95,146.86,corals,8
301.57,340.88,corals,2
204.32,178.25,island,4
316.03,308.69,danger,14
201.76,176.98,rocks,16
296.16,299.84,ice_hole,19
206.22,193.13,ice_hole,2
318.03,317.82,corals,12
186.61,166.07,strong_current,14
302.23,321.63,island,6
226.66,191.25,island,13
291.04,327.3,kelp_forest,4
174.71,153.8,corals,18
320.04,333.4,fishing_ground,12
216.44,159.34,fishing_ground,19
292.58,297.52,fishing_ground,8
199.98,192.42,island,7
280.41,335.92,strong_current,16
204.18,168.79,ice_hole,19
312.86,325.87,ice_hole,6
196.64,188.31,ice_hole,11
307.36,375.49,fishing_ground,5
212.21,173.65,strong_current,16
301.71,318.82,fishing_ground,7
200.33,163.94,abyss,5
287.19,340.54,corals,11
182.77,132.04,danger,15
282.76,340.39,rocks,3
226.3,169.78,island,5
276.22,355.36,island,5
200.76,179.52,ice_hole,9
296.51,339.59,abyss,15
218.75,182.38,abyss,3
295.6,367.35,kelp_forest,6
198.67,160.66,abyss,17
319.84,346.04,rocks,8
199.61,134.83,fishing_ground,11
284.94,321.37,kelp_forest,6
215.83,146.61,rocks,8
264.87,336.29,island,10
214.61,142.09,island,3
279.78,342.9,rocks,14
212.51,150.46,fishing_ground,14
290.54,358.98,danger,10
220.92,148.68,corals,12
257.76,314.2,fishing_ground,6
205.5,155.93,corals,12
282.46,346.04,strong_current,14
206.51,141.64,fishing_ground,2
276.72,348.4,danger,9
234.47,137.93,kelp_forest,10
257.19,352.41,danger,17
242.3,187.09,island,17
245.67,324.49,fishing_ground,3
236.14,143.9,strong_current,19
266.36,340.48,fishing_ground,1
232.44,144.27,fishing_ground,12
249.26,363.94,corals,7
223.43,156.59,corals,4
284.68,362.32,corals,10
254.04,149.06,ice_hole,13
271.03,334.1,corals,2
252.29,133.2,island,10
270.42,362.2,ice_hole,4
237.5,149.64,danger,18
257.85,369.56,corals,5
224.34,150.68,rocks,19
254.04,337.88,kelp_forest,2
261.35,139.4,strong_current,12
244.53,361.41,ice_hole,17
261.23,155.09,ice_hole,10
252.37,365.66,kelp_forest,2
231.74,131.6,corals,6
234.65,339.22,ice_hole,8
263.91,142.42,corals,19
254.24,374.05,corals,11
255.32,135.49,strong_current,12
241.4,361.56,kelp_forest,9
258.82,150.08,island,2
254.25,365.82,island,8
277.27,165.39,ice_hole,11
260.4,376.4,corals,4
265.12,135.97,ice_hole,10
236.4,329.5,corals,16
264.34,134.71,island,8
243.16,357.64,ice_hole,4
271.24,138.62,ice_hole,10
251.03,381.97,kelp_forest,12
293.78,143.37,corals,14
229.53,365.25,ice_hole,16
296.37,145.81,rocks,18
244.86,352.57,danger,12
269.84,118.6,abyss,18
246.77,355.99,danger,7
294.63,184.18,strong_current,7
219.78,341.24,island,9
297.34,120.2,ice_hole,1
236.92,381.25,danger,6
307.48,152.5,abyss,6
215.87,359.11,fishing_ground,12
275.49,160.39,island,12
193.62,346.19,abyss,10
289.27,142.18,ice_hole,6
221.44,368.29,rocks,17
277.34,170.02,island,19
213.52,341.59,ice_hole,18
270.3,159.92,rocks,6
227.17,360.54,island,19
282.74,146.37,fishing_ground,10
248.31,355.37,abyss,8
288.86,127.66,island,6
198.51,366.92,corals,7
288.18,135.54,fishing_ground,1
188.31,341.36,rocks,18
301.38,156.47,rocks,12
198.28,363.78,strong_current,16
311.51,147.11,rocks,10
197.85,366.75,kelp_forest,10
316.77,164.06,strong_current,14
208.19,368.9,ice_hole,10
302.47,140.9,ice_hole,10
215.91,364.65,ice_hole,11
315.86,150.53,abyss,2
230.14,372.52,corals,8
301.6,147.19,rocks,7
193.28,346.66,ice_hole,8
327.59,142.05,danger,1
171.65,352.45,danger,2
326.7,155.82,corals,18
193.23,355.16,rocks,15
302.5,155.25,danger,1
169.56,356.48,rocks,5
307.28,149.32,abyss,2
156.49,337.2,corals,3
311.63,141.53,abyss,19
188.85,358.14,corals,18
313.96,159.46,strong_current,18
195.73,323.68,ice_hole,14
341.28,167.86,danger,8
192.22,366.64,corals,12
326.56,147.62,corals,10
147.84,347.36,corals,17
317.72,151.61,danger,11
171.34,349.61,fishing_ground,2
317.62,144.73,abyss,4
169.29,340.23,rocks,1
348.84,170.96,fishing_ground,15
149.75,354.16,rocks,13
353.16,165.76,island,8
177.04,334.61,strong_current,4
337.31,143.75,ice_hole,10
156.55,328.46,kelp_forest,19
326.17,158.1,island,18
144.09,327.79,ice_hole,5
357.91,165.59,kelp_forest,19
178.39,330.46,abyss,16
324.12,168.32,corals,1
152.52,346.62,abyss,12
347.08,163.22,strong_current,2
153.48,315.66,fishing_ground,8
322.29,161.43,abyss,18
147.52,336.43,danger,16
368.04,178.64,strong_current,5
146.43,332.8,abyss,13
346.0,187.27,fishing_ground,19
138.34,324.47,island,3
356.3,197.33,corals,8
150.68,334.05,kelp_forest,12
343.21,147.74,fishing_ground,2
133.01,343.26,abyss,11
368.97,169.19,abyss,12
127.94,309.84,abyss,18
360.66,185.37,fishing_ground,13
120.17,300.25,ice_hole,5
364.63,173.68,abyss,12
153.08,334.89,island,2
370.57,189.41,island,5
138.9,324.73,corals,7
377.58,177.96,corals,12
164.36,296.95,danger,16
358.26,194.89,danger,8
132.48,322.03,strong_current,9
365.01,198.81,strong_current,15
130.63,312.12,corals,5
358.16,180.67,rocks,13
128.46,334.25,rocks,5
385.07,198.46,kelp_forest,11
141.14,303.8,rocks,10
362.76,193.55,kelp_forest,13
104.85,305.16,abyss,9
352.78,209.04,rocks,14
135.29,303.42,rocks,18
348.07,208.92,kelp_forest,15
131.63,300.8,danger,10
360.8,200.73,island,7
128.13,303.78,danger,8
374.19,210.61,abyss,3
127.12,292.87,fishing_ground,15
370.62,198.54,strong_current,16
120.05,295.98,abyss,4
368.43,209.63,kelp_forest,6
128.45,284.17,island,1
385.72,202.29,kelp_forest,4
109.36,291.97,rocks,11
